Suburb,Rooms,Type,Price,Method,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,Sale_Year,Sale_Month
Bentleigh,5,h,2478000.0,S,Jellis,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2017,10
Williamstown,3,h,1150000.0,SP,Williams,3016,Western Metropolitan,6380,6.8,Hobsons Bay City Council,2018,3
Lalor,3,h,552000.0,S,Harcourts,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,2016,11
Elwood,2,u,652500.0,S,hockingstuart,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2017,12
Pascoe Vale,2,h,750000.0,PI,Nelson,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,5
Clayton,3,h,1011000.0,S,Buxton,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,2016,11
Glen Waverley,4,t,972000.0,SP,Barry,3150,Eastern Metropolitan,15321,16.7,Monash City Council,2018,5
Essendon,2,h,748000.0,S,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,2018,7
Brighton,4,h,3000000.0,VB,Marshall,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2018,5
MacLeod,3,t,915000.0,S,Miles,3085,Northern Metropolitan,4168,12.7,Banyule City Council,2017,2
Yarraville,3,h,1160000.0,SP,Jas,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council,2017,12
Murrumbeena,4,h,1656000.0,S,Other,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council,2017,5
Northcote,2,h,1150000.0,S,Jellis,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2018,10
Armadale,3,h,1681000.0,S,Marshall,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,2017,12
Sunshine,3,t,670000.0,VB,Barry,3020,Western Metropolitan,3755,10.5,Brimbank City Council,2018,3
Sunbury,3,h,460000.0,SP,Other,3429,Western Metropolitan,14092,31.7,Hume City Council,2018,1
Glen Iris,4,h,2376000.0,S,Jellis,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2016,11
South Yarra,1,u,465000.0,S,Biggin,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2016,8
Abbotsford,1,u,500000.0,S,Biggin,3067,Northern Metropolitan,4019,3.0,Yarra City Council,2016,11
Other,4,h,765000.0,PI,Raine,3431,Northern Victoria,1475,47.4,Macedon Ranges Shire Council,2017,12
Carlton,2,h,1460000.0,S,Nelson,3053,Northern Metropolitan,6786,1.6,Melbourne City Council,2017,3
Bentleigh,4,h,1895000.0,S,Jellis,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2017,8
Sandringham,2,u,640000.0,VB,hockingstuart,3191,Southern Metropolitan,4497,15.2,Bayside City Council,2016,4
Heidelberg West,3,h,520000.0,S,Other,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,2017,8
Sunshine West,3,h,551000.0,S,Barry,3020,Western Metropolitan,6763,10.5,Brimbank City Council,2017,7
Other,2,t,760000.0,PI,Frank,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council,2018,5
Other,4,h,845000.0,S,Buckingham,3088,Eastern Metropolitan,1390,16.1,Banyule City Council,2016,9
Burwood East,4,h,1100000.0,VB,Fletchers,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,2017,10
Epping,4,h,700000.0,S,Barry,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,2017,12
Pascoe Vale,3,h,830000.0,S,Brad,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2018,3
Bentleigh East,4,h,1420000.0,S,Jellis,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2017,12
Other,2,u,550000.0,VB,hockingstuart,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2017,11
Balwyn,3,h,1135000.0,S,Marshall,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2017,5
Malvern East,3,h,1250000.0,VB,hockingstuart,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,2018,3
Mount Waverley,4,h,1368000.0,S,Jellis,3149,Eastern Metropolitan,13366,14.2,Monash City Council,2016,7
Westmeadows,2,u,400000.0,SP,YPA,3049,Northern Metropolitan,2474,16.5,Hume City Council,2017,9
Altona North,5,t,1150000.0,S,Sweeney,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,2017,6
Preston,2,u,410000.0,VB,Nelson,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2017,4
Tullamarine,3,t,425000.0,S,Jason,3043,Western Metropolitan,3296,12.9,Brimbank City Council,2016,7
Richmond,2,u,510000.0,PI,Buxton,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2018,8
Mulgrave,3,h,880000.0,SA,Nelson,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2017,6
Preston,2,u,515000.0,S,Love,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2017,2
Croydon,3,h,850000.0,S,Barry,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,2017,12
Other,4,h,2175000.0,S,Miles,3084,Eastern Metropolitan,1651,8.9,Banyule City Council,2017,12
Maidstone,3,t,735000.0,S,hockingstuart,3012,Western Metropolitan,3873,6.4,Maribyrnong City Council,2018,9
Montmorency,4,h,910000.0,SP,Jellis,3094,Eastern Metropolitan,3891,16.2,Banyule City Council,2018,7
Balwyn North,4,h,2200000.0,PI,Buxton,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2017,11
Werribee,2,h,360000.0,S,Other,3030,Western Metropolitan,16166,14.7,Wyndham City Council,2018,6
Reservoir,3,h,835000.0,S,HAR,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2017,12
Toorak,2,u,682000.0,S,hockingstuart,3142,Southern Metropolitan,7217,4.1,Stonnington City Council,2017,6
Brunswick East,2,h,975000.0,S,Nelson,3057,Northern Metropolitan,5533,4.0,Moreland City Council,2017,8
Hawthorn,2,u,525000.0,S,Woodards,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,2017,12
Footscray,2,t,480000.0,PI,Jas,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council,2016,8
Thomastown,3,u,575000.0,S,Harcourts,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,2016,9
Brunswick West,2,h,800000.0,VB,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2018,9
Keilor East,3,h,700000.0,VB,Nelson,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2017,10
Altona North,4,h,650000.0,SP,Williams,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,2016,6
Reservoir,3,h,690000.0,S,Ray,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2018,4
South Yarra,3,h,2710000.0,S,Jellis,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2017,2
Tarneit,4,h,415000.0,S,Sweeney,3029,Western Metropolitan,10160,18.4,Wyndham City Council,2017,5
Templestowe,3,t,795000.0,VB,Purplebricks,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2017,7
Forest Hill,2,t,750000.0,VB,hockingstuart,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,2017,4
Balwyn North,2,u,555500.0,S,Fletchers,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2018,1
Craigieburn,3,h,550000.0,SP,YPA,3064,Northern Metropolitan,15510,20.6,Hume City Council,2018,1
Heidelberg Heights,2,u,605000.0,S,Harcourts,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,2016,11
Seaford,3,h,1100000.0,PI,hockingstuart,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council,2018,7
Mount Waverley,3,h,1065500.0,S,Buxton,3149,Eastern Metropolitan,13366,14.2,Monash City Council,2016,6
Other,3,h,742000.0,S,Barry,3085,Northern Metropolitan,1369,12.7,Banyule City Council,2016,10
South Morang,3,t,525000.0,SP,Other,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,2018,3
Hawthorn,2,u,450000.0,PI,Marshall,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,2016,11
Oak Park,5,h,1390000.0,S,Jellis,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2017,11
Other,3,h,1620000.0,S,hockingstuart,3078,Northern Metropolitan,2211,5.7,Darebin City Council,2017,9
Richmond,2,u,665000.0,PI,hockingstuart,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2017,6
Heathmont,4,h,975000.0,SP,Barry,3135,Eastern Metropolitan,3794,21.3,Maroondah City Council,2018,5
Albert Park,3,h,1300000.0,S,hockingstuart,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council,2016,12
Burwood,4,h,1661000.0,S,Buxton,3125,Southern Metropolitan,5678,10.4,Monash City Council,2018,2
Balwyn,2,t,760000.0,S,Other,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2016,12
Blackburn,3,u,1070000.0,S,Noel,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,2018,3
Chelsea,4,h,2040000.0,S,Buxton,3196,South-Eastern Metropolitan,3906,27.0,Kingston City Council,2018,5
Eltham,4,h,1030000.0,S,Jellis,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,2018,5
Reservoir,3,h,730000.0,S,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,5
South Morang,3,h,518000.0,S,Harcourts,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,2016,6
Seddon,2,h,1120000.0,SP,Village,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council,2018,2
Broadmeadows,4,h,550000.0,S,YPA,3047,Northern Metropolitan,4294,14.0,Hume City Council,2016,11
Brunswick West,3,h,1095000.0,S,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2018,4
Coburg,4,h,1090000.0,S,Jellis,3058,Northern Metropolitan,11204,6.7,Darebin City Council,2017,12
Preston,3,h,1100000.0,S,Nelson,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2017,4
Other,4,h,530000.0,VB,Sweeney,3028,Western Metropolitan,7630,15.5,Hobsons Bay City Council,2016,5
Mill Park,4,h,715000.0,S,Darren,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2017,9
Coburg,3,h,985000.0,PI,Jellis,3058,Northern Metropolitan,11204,6.7,Darebin City Council,2017,5
Lalor,4,h,710000.0,S,HAR,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,2017,11
Mitcham,3,h,930000.0,SP,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,2016,10
Reservoir,3,h,820000.0,S,Ray,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,7
Keilor East,2,u,600000.0,S,Biggin,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2017,9
Melbourne,1,u,415000.0,SP,Other,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,2018,3
Brunswick,4,h,1325000.0,S,Jellis,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2018,3
Elwood,2,u,480000.0,S,McGrath,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2017,6
Albert Park,3,h,1800000.0,VB,Greg,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council,2017,6
Rosanna,2,u,740500.0,S,Nelson,3084,Eastern Metropolitan,3540,8.9,Banyule City Council,2018,3
Glen Iris,3,h,1601000.0,S,Marshall,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2017,5
Richmond,3,h,1100000.0,VB,Biggin,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2018,5
Malvern East,2,h,1151000.0,S,Marshall,3145,Southern Metropolitan,8801,8.4,Stonnington City Council,2018,3
Sandringham,3,h,1450000.0,S,Buxton,3191,Southern Metropolitan,4497,15.2,Bayside City Council,2016,11
Box Hill,2,u,645000.0,S,McGrath,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,2017,3
Coburg,2,t,617500.0,PI,Jellis,3058,Northern Metropolitan,11204,6.7,Darebin City Council,2018,5
Blackburn,2,u,850000.0,S,Noel,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,2016,9
Northcote,2,u,560000.0,S,McGrath,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2018,3
Ashwood,3,h,1183000.0,S,Ray,3147,Southern Metropolitan,2894,10.2,Monash City Council,2017,12
Bentleigh East,4,h,1420000.0,S,Jellis,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2018,1
Other,2,u,540000.0,S,Other,3006,Southern Metropolitan,8400,0.7,Melbourne City Council,2016,9
Airport West,2,t,450000.0,S,Barry,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,2016,5
St Kilda,1,u,346000.0,S,Gary,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,2018,6
Greensborough,3,h,790000.0,S,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2017,4
Other,3,u,398000.0,S,FN,3805,South-Eastern Metropolitan,9376,34.1,Casey City Council,2017,10
Greensborough,3,h,701000.0,S,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2016,8
Pascoe Vale,3,t,710000.0,SP,hockingstuart,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,10
Brighton East,3,h,1620000.0,S,Marshall,3187,Southern Metropolitan,6938,10.3,Bayside City Council,2016,4
Glen Iris,4,h,1770000.0,SP,Other,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2017,9
Mulgrave,3,h,792500.0,S,Hodges,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,7
Yarraville,2,h,710000.0,S,Chisholm,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council,2017,3
Caulfield South,3,h,1450000.0,S,RT,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council,2016,8
Burwood East,3,h,1015000.0,S,Other,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,2017,11
Camberwell,5,h,2400000.0,VB,Marshall,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2017,7
Richmond,3,h,2153000.0,S,hockingstuart,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2018,9
Heidelberg West,1,h,442000.0,S,Barry,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,2017,5
Edithvale,3,h,725000.0,PI,Thomson,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,2016,6
Reservoir,2,u,495000.0,S,Ray,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2017,7
Essendon,2,u,483000.0,S,McDonald,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,2018,7
Other,3,h,705000.0,S,Barry,3022,Western Metropolitan,1281,12.8,Brimbank City Council,2018,4
Glen Iris,5,h,1960000.0,PI,Gary,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2016,10
Springvale,3,h,650000.0,PI,Other,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,2017,4
Richmond,1,u,441000.0,SP,Biggin,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2018,6
Keilor East,3,h,775000.0,S,Biggin,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2018,5
Westmeadows,3,t,490000.0,S,YPA,3049,Northern Metropolitan,2474,16.5,Hume City Council,2017,10
Kensington,3,t,1035700.0,SP,Biggin,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,2018,6
Eltham,4,h,1710000.0,PI,Morrison,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,2016,9
Reservoir,3,h,625000.0,SP,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,9
Dingley Village,4,h,1000000.0,SP,Buxton,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,2016,5
Oakleigh,2,h,600000.0,SP,Barry,3166,Southern Metropolitan,3224,12.3,Monash City Council,2016,6
Craigieburn,4,h,815000.0,S,Barry,3064,Northern Metropolitan,15510,20.6,Hume City Council,2018,6
Richmond,2,u,815000.0,S,Jellis,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2016,11
Elwood,4,h,1950000.0,VB,RT,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2018,5
Wyndham Vale,4,h,416000.0,S,Raine,3024,Western Metropolitan,5262,27.2,Wyndham City Council,2016,12
Brunswick,2,t,750000.0,PI,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2016,9
Greensborough,3,h,876000.0,S,Morrison,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2017,12
Northcote,3,h,1870000.0,S,Jellis,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2017,12
Mill Park,4,h,740000.0,S,Other,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2017,12
Moorabbin,3,t,800000.0,S,Buxton,3189,Southern Metropolitan,2555,14.3,Kingston City Council,2016,8
Highett,2,t,960000.0,PI,Other,3190,Southern Metropolitan,4794,16.0,Bayside City Council,2017,12
Surrey Hills,4,h,3100000.0,VB,Marshall,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,2017,8
Sydenham,3,h,350000.0,S,Ray,3037,Western Metropolitan,3640,18.0,Brimbank City Council,2017,3
Brighton,1,u,290000.0,PI,Greg,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2017,7
Templestowe,3,h,1290000.0,S,Barry,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2017,10
Other,4,u,1250000.0,S,Kay,3006,Southern Metropolitan,8400,0.7,Melbourne City Council,2016,11
Brunswick,2,h,970000.0,S,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2018,1
Other,5,h,1280000.0,S,Fletchers,3137,Eastern Metropolitan,962,26.0,Maroondah City Council,2018,6
Glen Iris,6,h,2245000.0,S,Marshall,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2017,12
Bentleigh,4,t,1200000.0,VB,Jellis,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2018,6
Deer Park,3,h,530000.0,S,hockingstuart,3023,Western Metropolitan,6388,14.8,Brimbank City Council,2016,12
Mordialloc,2,u,650000.0,S,Barry,3195,South-Eastern Metropolitan,3650,21.5,Kingston City Council,2018,5
Camberwell,3,u,905000.0,S,Other,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2017,4
Clifton Hill,2,h,1209000.0,S,Jellis,3068,Northern Metropolitan,2954,3.6,Yarra City Council,2016,10
Balwyn North,3,h,1475000.0,VB,Noel,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2018,7
Other,2,u,655000.0,S,hockingstuart,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2017,5
Other,3,h,710000.0,PI,Fletchers,3085,Northern Metropolitan,1369,12.7,Banyule City Council,2018,8
Port Melbourne,2,u,765000.0,S,Marshall,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2017,10
Richmond,1,u,510000.0,S,Other,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2018,9
Bentleigh,2,u,392000.0,SP,Jellis,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2017,12
Pascoe Vale,3,h,600000.0,PI,Other,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2016,4
Frankston South,4,h,1215500.0,S,Eview,3199,South-Eastern Metropolitan,7566,38.0,Frankston City Council,2018,2
Seaford,4,h,730000.0,S,Other,3198,South-Eastern Metropolitan,8077,35.4,Frankston City Council,2017,5
Port Melbourne,2,u,795000.0,S,Cayzer,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2016,8
Brighton East,4,t,1685000.0,S,Buxton,3187,Southern Metropolitan,6938,10.3,Bayside City Council,2018,5
Armadale,4,h,3180000.0,S,Marshall,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,2018,8
Camberwell,3,u,682000.0,S,Noel,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2017,7
Maribyrnong,2,t,570000.0,S,Jas,3032,Western Metropolitan,4918,4.3,Maribyrnong City Council,2016,4
Clayton,3,h,895000.0,S,Hodges,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,2016,6
Mill Park,3,h,480000.0,SP,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2016,5
Collingwood,1,u,415000.0,SP,Biggin,3066,Northern Metropolitan,4553,2.0,Yarra City Council,2016,11
Footscray,2,h,978000.0,SP,Jas,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council,2017,9
Other,4,h,850000.0,S,McGrath,3153,Eastern Metropolitan,5030,23.2,Knox City Council,2016,12
Balwyn North,4,h,1700000.0,VB,Jellis,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2016,6
Greensborough,3,u,640000.0,S,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2017,6
Mill Park,4,h,665000.0,S,Barry,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2018,4
Other,4,h,575000.0,SP,HAR,3030,Western Metropolitan,2276,14.7,Brimbank City Council,2016,11
Kew East,3,t,1020000.0,VB,Jellis,3102,Southern Metropolitan,2671,7.3,Boroondara City Council,2017,9
Chadstone,3,h,1354000.0,S,Ray,3148,Southern Metropolitan,3582,11.7,Monash City Council,2017,4
Other,2,u,540000.0,S,MICM,3006,Southern Metropolitan,8400,0.7,Melbourne City Council,2018,4
Greensborough,3,h,759000.0,S,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2017,12
Glen Iris,2,u,610500.0,S,Jellis,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2018,10
Carlton,2,u,1100000.0,VB,Jellis,3053,Northern Metropolitan,6786,1.6,Melbourne City Council,2017,5
Other,4,h,820000.0,VB,Nelson,3043,Western Metropolitan,1071,12.9,Moreland City Council,2018,5
Taylors Hill,4,h,840000.0,VB,FN,3037,Western Metropolitan,4242,18.0,Melton City Council,2018,4
Mill Park,3,h,668000.0,SP,Other,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2017,10
Frankston,4,h,590000.0,S,hockingstuart,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council,2016,12
Ascot Vale,3,h,940000.0,S,Jellis,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,2016,7
Blackburn,4,h,1200000.0,PI,Noel,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,2017,4
Mentone,3,t,810000.0,PI,Buxton,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,2017,12
Fitzroy North,2,h,960000.0,S,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2017,5
Maidstone,3,t,670000.0,PI,Biggin,3012,Western Metropolitan,3873,6.4,Maribyrnong City Council,2017,12
Reservoir,3,u,620000.0,S,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,10
Sandringham,5,h,2310000.0,S,hockingstuart,3191,Southern Metropolitan,4497,15.2,Bayside City Council,2016,11
Fitzroy North,4,h,2630000.0,S,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2017,11
Ascot Vale,2,h,910000.0,S,Nelson,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,2018,3
Parkdale,3,u,630000.0,S,O'Brien,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,2016,11
Strathmore,4,h,1470000.0,S,Nelson,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council,2017,10
Glenroy,3,t,765000.0,SP,Stockdale,3046,Northern Metropolitan,8870,11.2,Moreland City Council,2018,1
Port Melbourne,2,u,852000.0,S,Hodges,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2018,2
Hampton East,4,h,1416000.0,S,Buxton,3188,Southern Metropolitan,2356,13.8,Bayside City Council,2016,8
Other,3,h,517250.0,S,LJ,3977,South-Eastern Metropolitan,4939,34.7,Casey City Council,2017,12
Wyndham Vale,4,h,625500.0,S,LJ,3024,Western Metropolitan,5262,27.2,Wyndham City Council,2017,11
Coburg,2,u,706000.0,S,Nelson,3058,Northern Metropolitan,11204,6.7,Darebin City Council,2018,5
Hillside,3,h,605000.0,S,Barry,3037,Western Metropolitan,5556,18.0,Brimbank City Council,2016,12
Oak Park,2,u,541000.0,S,Brad,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2018,3
Oak Park,3,h,891000.0,S,Barry,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2017,11
Westmeadows,2,t,510000.0,SP,Stockdale,3049,Northern Metropolitan,2474,16.5,Hume City Council,2018,9
Doncaster East,4,h,1405000.0,S,Jellis,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,2016,9
Burwood,5,h,1800000.0,PI,Ray,3125,Southern Metropolitan,5678,10.4,Monash City Council,2016,5
Bentleigh,3,h,1293000.0,S,Buxton,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2016,10
Abbotsford,4,h,1985000.0,S,Biggin,3067,Northern Metropolitan,4019,3.0,Yarra City Council,2016,11
Oak Park,3,h,770000.0,S,Stockdale,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2016,9
Ormond,1,u,373000.0,PI,Ray,3204,Southern Metropolitan,3578,11.4,Glen Eira City Council,2018,3
St Kilda,1,u,270000.0,VB,hockingstuart,3182,Southern Metropolitan,13240,5.0,Port Phillip City Council,2017,12
Donvale,4,h,969000.0,PI,Barry,3111,Eastern Metropolitan,4790,16.1,Manningham City Council,2017,10
Doncaster East,4,h,1380000.0,S,Barry,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,2016,10
Point Cook,4,h,730000.0,S,Other,3030,Western Metropolitan,15542,14.7,Wyndham City Council,2018,4
Templestowe Lower,3,h,1180000.0,S,Philip,3107,Eastern Metropolitan,5420,12.4,Manningham City Council,2017,5
South Yarra,3,h,2160000.0,S,Jellis,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2018,3
Moorabbin,3,h,1020000.0,S,Buxton,3189,Southern Metropolitan,2555,14.3,Kingston City Council,2016,9
Mulgrave,3,h,782000.0,S,Nelson,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,7
Malvern,1,u,365000.0,SP,hockingstuart,3144,Southern Metropolitan,4675,5.9,Stonnington City Council,2017,5
Pascoe Vale,4,h,985000.0,SP,Ray,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,2
Seddon,3,h,900000.0,SP,Sweeney,3011,Western Metropolitan,2417,5.1,Maribyrnong City Council,2017,6
Chadstone,4,t,898000.0,SP,Nelson,3148,Southern Metropolitan,3582,11.7,Monash City Council,2016,5
Heidelberg,2,u,710000.0,S,Miles,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,2018,7
Noble Park,3,h,596000.0,S,Other,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council,2017,4
Other,2,h,472500.0,S,C21,3177,South-Eastern Metropolitan,3533,28.8,Casey City Council,2017,7
Wyndham Vale,3,h,505700.0,S,YPA,3024,Western Metropolitan,5262,27.2,Wyndham City Council,2017,10
Balwyn,2,u,526000.0,S,hockingstuart,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2016,9
Edithvale,3,h,995000.0,PI,Hodges,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,2017,8
Keilor East,3,h,825000.0,S,Nelson,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2016,4
Newport,4,h,1465000.0,S,Sweeney,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,2018,3
Other,3,u,320000.0,VB,Ray,3337,Western Victoria,3600,31.7,Melton City Council,2018,7
Yarraville,3,h,950000.0,S,Sweeney,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council,2017,4
Camberwell,8,h,2200000.0,PI,Other,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2017,7
Altona,3,h,1815000.0,S,Williams,3018,Western Metropolitan,5301,11.0,Hobsons Bay City Council,2018,3
Murrumbeena,3,h,1550000.0,VB,Woodards,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council,2018,1
